TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
2019533.1364,394.609,806.054,410.225,-1102.5,-2765.0,-1181.25,855.76,-641.44,-348.08
2019533.1864,400.953,807.457,412.726,-595.0,-3342.5,52.5,846.64,-649.04,-364.8
2019533.2363,414.007,808.006,406.931,437.5,-1828.75,52.5,846.64,-644.48,-349.6
2019533.2864,411.323,809.348,404.979,560.0,-656.25,262.5,843.6,-635.36,-345.04
2019533.3364,404.674,814.167,406.626,70.0,-210.0,-542.5,843.6,-639.92,-338.96
2019533.3864,394.548,810.141,409.127,-726.25,-1828.75,-1268.75,860.32,-650.56,-351.12
2019533.4364,396.622,808.372,413.702,-551.25,-2406.25,-743.75,851.2,-650.56,-354.16
2019533.4864,402.966,808.799,410.286,-35.0,-2108.75,227.5,854.24,-639.92,-338.96
2019533.5363,406.565,808.494,413.153,350.0,-2170.0,192.5,837.52,-644.48,-343.52
2019533.5864,406.016,811.971,411.811,166.25,-2196.25,-560.0,839.04,-630.8,-334.4
2019533.6363,404.186,805.627,410.042,-61.25,-2082.5,-1312.5,864.88,-641.44,-335.92
2019533.6864,398.452,810.263,413.153,227.5,-1758.75,-1400.0,848.16,-638.4,-354.16
2019533.7364,396.561,808.921,412.299,288.75,-2222.5,8.75,846.64,-653.6,-349.6
2019533.7864,397.598,810.263,411.75,0.0,-2563.75,245.0,848.16,-642.96,-355.68
2019533.8364,401.99,811.544,409.859,-8.75,-2730.0,1190.0,852.72,-641.44,-354.16
2019533.8864,407.907,805.627,412.238,166.25,-2126.25,866.25,840.56,-636.88,-351.12
2019533.9364,407.358,806.786,407.541,761.25,-1986.25,183.75,866.4,-632.32,-340.48
2019533.9864,408.761,810.08,405.711,717.5,-2353.75,358.75,842.08,-629.28,-328.32
2019534.0364,407.968,810.69,404.613,245.0,-2108.75,778.75,845.12,-632.32,-345.04
2019534.0864,408.7,814.106,401.136,-761.25,-1916.25,761.25,846.64,-642.96,-349.6
2019534.1363,408.822,808.616,402.112,-1933.75,-2388.75,297.5,845.12,-632.32,-348.08
2019534.1864,411.689,802.15,410.225,-516.25,-3596.25,-1662.5,826.88,-642.96,-360.24
2019534.2363,407.907,805.993,406.26,288.75,-3115.0,-883.75,855.76,-644.48,-338.96
2019534.2864,407.663,807.945,406.016,402.5,-2432.5,166.25,863.36,-646.0,-361.76
2019534.3363,411.811,810.324,402.478,-35.0,-1916.25,1277.5,845.12,-630.8,-348.08
2019534.3864,414.556,805.261,401.197,-26.25,-1741.25,586.25,839.04,-641.44,-317.68
2019534.4363,418.216,803.065,402.356,665.0,-1680.0,-980.0,834.48,-639.92,-334.4
2019534.4864,409.493,816.241,400.526,490.0,-1050.0,-350.0,825.36,-642.96,-345.04
2019534.5364,409.554,810.629,404.125,-113.75,-945.0,1286.25,854.24,-636.88,-351.12
2019534.5864,409.066,810.568,405.04,420.0,-1470.0,1120.0,839.04,-653.6,-340.48
2019534.6364,412.665,809.531,400.831,-157.5,-2205.0,848.75,829.92,-644.48,-354.16
2019534.6864,417.301,806.054,403.881,-525.0,-2686.25,-183.75,845.12,-630.8,-337.44
2019534.7364,414.007,810.873,404.613,-61.25,-1977.5,-516.25,842.08,-641.44,-343.52
2019534.7864,413.153,805.261,405.101,-385.0,-1636.25,-157.5,828.4,-641.44,-331.36
2019534.8363,413.946,806.176,406.565,-280.0,-1662.5,271.25,840.56,-644.48,-348.08
2019534.8864,412.848,805.871,407.846,-87.5,-2047.5,-446.25,837.52,-633.84,-354.16
